name,channels,ivar,mask,unit,db_table,db_column,fits_extension
spx_skycoo,"on_sky_x, on_sky_y",False,False,arcsec,spaxelprop5,"spx_skycoo_on_sky_x, spx_skycoo_on_sky_y",SPX_SKYCOO
spx_ellcoo,"elliptical_radius, elliptical_azimuth",False,False,multiple,spaxelprop5,"spx_ellcoo_elliptical_radius, spx_ellcoo_elliptical_azimuth",SPX_ELLCOO
spx_mflux,,True,False,1e-17 erg / (cm2 s s,spaxelprop5,spx_mflux,SPX_MFLUX
spx_snr,,False,False,,spaxelprop5,spx_snr,SPX_SNR
binid,,False,False,,spaxelprop5,binid,BINID
bin_lwskycoo,"lum_weighted_on_sky_x, lum_weighted_on_sky_y",False,False,arcsec,spaxelprop5,"bin_lwskycoo_lum_weighted_on_sky_x, bin_lwskycoo_lum_weighted_on_sky_y",BIN_LWSKYCOO
bin_lwellcoo,"lum_weighted_elliptical_radius, lum_weighted_elliptical_azimuth",False,False,multiple,spaxelprop5,"bin_lwellcoo_lum_weighted_elliptical_radius, bin_lwellcoo_lum_weighted_elliptical_azimuth",BIN_LWELLCOO
bin_area,,False,False,arcsec2,spaxelprop5,bin_area,BIN_AREA
bin_farea,,False,False,,spaxelprop5,bin_farea,BIN_FAREA
bin_mflux,,True,True,1e-17 erg / (cm2 s s,spaxelprop5,bin_mflux,BIN_MFLUX
bin_snr,,False,False,,spaxelprop5,bin_snr,BIN_SNR
stellar_vel,,True,True,km / s,spaxelprop5,stellar_vel,STELLAR_VEL
stellar_sigma,,True,True,km / s,spaxelprop5,stellar_sigma,STELLAR_SIGMA
stellar_sigmacorr,,False,False,km / s,spaxelprop5,stellar_sigmacorr,STELLAR_SIGMACORR
stellar_cont_fresid,"68th_percentile, 99th_percentile",False,False,,spaxelprop5,"stellar_cont_fresid_68th_percentile, stellar_cont_fresid_99th_percentile",STELLAR_CONT_FRESID
stellar_cont_rchi2,,False,False,,spaxelprop5,stellar_cont_rchi2,STELLAR_CONT_RCHI2
