name,channels,ivar,mask,unit,db_table,db_column,fits_extension
spx_skycoo,"on_sky_x, on_sky_y",False,False,arcsec,spaxelprop6,"spx_skycoo_on_sky_x, spx_skycoo_on_sky_y",SPX_SKYCOO
spx_ellcoo,"elliptical_radius, elliptical_azimuth",False,False,multiple,spaxelprop6,"spx_ellcoo_elliptical_radius, spx_ellcoo_elliptical_azimuth",SPX_ELLCOO
spx_mflux,,True,False,1e-17 erg / (cm2 s s,spaxelprop6,spx_mflux,SPX_MFLUX
spx_snr,,False,False,,spaxelprop6,spx_snr,SPX_SNR
binid,"binned_spectra, stellar_continua, em_line_moments, em_line_models, spectral_indices",False,False,,spaxelprop6,"binid_binned_spectra, binid_stellar_continua, binid_em_line_moments, binid_em_line_models, binid_spectral_indices",BINID
bin_lwskycoo,"lum_weighted_on_sky_x, lum_weighted_on_sky_y",False,False,arcsec,spaxelprop6,"bin_lwskycoo_lum_weighted_on_sky_x, bin_lwskycoo_lum_weighted_on_sky_y",BIN_LWSKYCOO
bin_lwellcoo,"lum_weighted_elliptical_radius, lum_weighted_elliptical_azimuth",False,False,multiple,spaxelprop6,"bin_lwellcoo_lum_weighted_elliptical_radius, bin_lwellcoo_lum_weighted_elliptical_azimuth",BIN_LWELLCOO
bin_area,,False,False,arcsec2,spaxelprop6,bin_area,BIN_AREA
bin_farea,,False,False,,spaxelprop6,bin_farea,BIN_FAREA
bin_mflux,,True,True,1e-17 erg / (cm2 s s,spaxelprop6,bin_mflux,BIN_MFLUX
bin_snr,,False,False,,spaxelprop6,bin_snr,BIN_SNR
stellar_vel,,True,True,km / s,spaxelprop6,stellar_vel,STELLAR_VEL
stellar_sigma,,True,True,km / s,spaxelprop6,stellar_sigma,STELLAR_SIGMA
stellar_sigmacorr,"resolution_difference, fit",False,False,km / s,spaxelprop6,"stellar_sigmacorr_resolution_difference, stellar_sigmacorr_fit",STELLAR_SIGMACORR
stellar_cont_fresid,"68th_percentile, 99th_percentile",False,False,,spaxelprop6,"stellar_cont_fresid_68th_percentile, stellar_cont_fresid_99th_percentile",STELLAR_CONT_FRESID
stellar_cont_rchi2,,False,False,,spaxelprop6,stellar_cont_rchi2,STELLAR_CONT_RCHI2
emline_sflux,"oiid_3728, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,1e-17 erg / (cm2 s s,spaxelprop6,"emline_sflux_oiid_3728, emline_sflux_oii_3729, emline_sflux_hthe_3798, emline_sflux_heta_3836, emline_sflux_neiii_3869, emline_sflux_hzet_3890, emline_sflux_neiii_3968, emline_sflux_heps_3971, emline_sflux_hdel_4102, emline_sflux_hgam_4341, emline_sflux_heii_4687, emline_sflux_hb_4862, emline_sflux_",EMLINE_SFLUX
emline_sew,"oiid_3728, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,Angstrom,spaxelprop6,"emline_sew_oiid_3728, emline_sew_oii_3729, emline_sew_hthe_3798, emline_sew_heta_3836, emline_sew_neiii_3869, emline_sew_hzet_3890, emline_sew_neiii_3968, emline_sew_heps_3971, emline_sew_hdel_4102, emline_sew_hgam_4341, emline_sew_heii_4687, emline_sew_hb_4862, emline_sew_oiii_4960, emline_sew_oiii",EMLINE_SEW
emline_gflux,"oii_3727, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,1e-17 erg / (cm2 s s,spaxelprop6,"emline_gflux_oii_3727, emline_gflux_oii_3729, emline_gflux_hthe_3798, emline_gflux_heta_3836, emline_gflux_neiii_3869, emline_gflux_hzet_3890, emline_gflux_neiii_3968, emline_gflux_heps_3971, emline_gflux_hdel_4102, emline_gflux_hgam_4341, emline_gflux_heii_4687, emline_gflux_hb_4862, emline_gflux_o",EMLINE_GFLUX
emline_gvel,"oii_3727, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,km / s,spaxelprop6,"emline_gvel_oii_3727, emline_gvel_oii_3729, emline_gvel_hthe_3798, emline_gvel_heta_3836, emline_gvel_neiii_3869, emline_gvel_hzet_3890, emline_gvel_neiii_3968, emline_gvel_heps_3971, emline_gvel_hdel_4102, emline_gvel_hgam_4341, emline_gvel_heii_4687, emline_gvel_hb_4862, emline_gvel_oiii_4960, eml",EMLINE_GVEL
emline_gsigma,"oii_3727, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",True,True,km / s,spaxelprop6,"emline_gsigma_oii_3727, emline_gsigma_oii_3729, emline_gsigma_hthe_3798, emline_gsigma_heta_3836, emline_gsigma_neiii_3869, emline_gsigma_hzet_3890, emline_gsigma_neiii_3968, emline_gsigma_heps_3971, emline_gsigma_hdel_4102, emline_gsigma_hgam_4341, emline_gsigma_heii_4687, emline_gsigma_hb_4862, em",EMLINE_GSIGMA
emline_instsigma,"oii_3727, oii_3729, hthe_3798, heta_3836, neiii_3869, hzet_3890, neiii_3968, heps_3971, hdel_4102, hgam_4341, heii_4687, hb_4862, oiii_4960, oiii_5008, hei_5877, oi_6302, oi_6365, nii_6549, ha_6564, nii_6585, sii_6718, sii_6732",False,False,km / s,spaxelprop6,"emline_instsigma_oii_3727, emline_instsigma_oii_3729, emline_instsigma_hthe_3798, emline_instsigma_heta_3836, emline_instsigma_neiii_3869, emline_instsigma_hzet_3890, emline_instsigma_neiii_3968, emline_instsigma_heps_3971, emline_instsigma_hdel_4102, emline_instsigma_hgam_4341, emline_instsigma_hei",EMLINE_INSTSIGMA
specindex,"cn1, cn2, ca4227, g4300, fe4383, ca4455, fe4531, c24668, hb, fe5015, mg1, mg2, mgb, fe5270, fe5335, fe5406, fe5709, fe5782, nad, tio1, tio2, hdeltaa, hgammaa, hdeltaf, hgammaf, cahk, caii1, caii2, caii3, pa17, pa14, pa12, mgicvd, naicvd, mgiir, fehcvd, nai, btio, atio, cah1, cah2, naisdss, tio2sdss,",True,True,multiple,spaxelprop6,"specindex_cn1, specindex_cn2, specindex_ca4227, specindex_g4300, specindex_fe4383, specindex_ca4455, specindex_fe4531, specindex_c24668, specindex_hb, specindex_fe5015, specindex_mg1, specindex_mg2, specindex_mgb, specindex_fe5270, specindex_fe5335, specindex_fe5406, specindex_fe5709, specindex_fe57",SPECINDEX
